0,1,2,3,4,5,6,7,8,9,10,11,12
Effect of cash flow hedges:,,,,,,,,,,,,
Foreign exchange contracts,,,,,,,,,,,,
Amount reclassified from AOCI to income,,144.0,,0.0,,165.0,,0.0,,2046.0,,0.0
Amount excluded from the assessment of,,,,,,,,,,,,
effectiveness amortized,,33.0,,0.0,,16.0,,0.0,,85.0,,0.0
Effect of fair value hedges:,,,,,,,,,,,,
Foreign exchange contracts,,,,,,,,,,,,
Hedged items,,0.0,,18.0,,0.0,,95.0,,0.0,,162.0
Derivatives designated as hedging,,,,,,,,,,,,
instruments,,0.0,,18.0,,0.0,,95.0,,0.0,,163.0
Amount excluded from the assessment of,,,,,,,,,,,,
effectiveness,,0.0,,4.0,,0.0,,8.0,,0.0,,16.0
Effect of net investment hedges:,,,,,,,,,,,,
Foreign exchange contracts,,,,,,,,,,,,
Amount excluded from the assessment of,,,,,,,,,,,,
effectiveness,,0.0,,151.0,,0.0,,82.0,,0.0,,171.0
Effect of non designated hedges:,,,,,,,,,,,,
