0,1,2,3,4,5,6,7,8
,,,Three Months Ended,,,,Nine Months Ended,
,,,September 30,,,,September 30,
,,2023.0,,2024.0,,2023.0,,2024.0
Google Search & other,,44026.0,,49385.0,,127013.0,,144050.0
YouTube ads,,7952.0,,8921.0,,22310.0,,25674.0
Google Network,,7669.0,,7548.0,,23015.0,,22405.0
Google advertising,,59647.0,,65854.0,,172338.0,,192129.0
Google subscriptions platforms and devices,,8339.0,,10656.0,,23894.0,,28707.0
Google Services total,,67986.0,,76510.0,,196232.0,,220836.0
Google Cloud,,8411.0,,11353.0,,23896.0,,31274.0
Other ets,,297.0,,388.0,,870.0,,1248.0
Hedging gains losses,,1.0,,17.0,,86.0,,191.0
Total revenues,,76693.0,,88268.0,,221084.0,,253549.0
