0,1,2,3,4,5,6
,,,,2019,,
,,Class A,,Class ,,Class C
asic net income per share:,,,,,,
Numerator,,,,,,
Allocation of undistributed earnings,,14846,,2307,,17190
Denominator,,,,,,
Number of shares used in per share computation,,299402,,46527,,346667
asic net income per share,,49.59,,49.59,,49.59
Diluted net income per share:,,,,,,
Numerator,,,,,,
Allocation of undistributed earnings for basic computation,,14846,,2307,,17190
Reallocation of undistributed earnings as a result of conversion of Class  to Class A shares,,2307,,0,,0
Reallocation of undistributed earnings,,126,,20,,126
Allocation of undistributed earnings,,17027,,2287,,17316
Denominator,,,,,,
Number of shares used in basic computation,,299402,,46527,,346667
Weighted-average effect of dilutive securities,,,,,,
Add:,,,,,,
Conversion of Class  to Class A common shares outstanding,,46527,,0,,0
Restricted stock units and other contingently issuable shares,,413,,0,,5547
Number of shares used in per share computation,,346342,,46527,,352214
Diluted net income per share,,49.16,,49.16,,49.16
