0,1
Government bonds, 1456  22  13897  657  15353  679
Corporate debt securities 827 5 15367 592 16194 597,
"Mortgage-backed and asset-backed
securities",2945 26 7916 608 10861 634
Total  5228  53  37180  1857  42408  1910,
