0,1,2,3,4,5,6,7,8,9,10,11,12
,,,,,,As of December 31 2019,,,,,,
,,,,Gross,,Gross,,,,Cash and,,
,,Adjusted,,Unrealized,,Unrealized,,Fair,,Cash,,Marketable
,,Cost,,Gains,,Losses,,Value,,Equivalents,,Securities
Level 2:,,,,,,,,,,,,
1,,,,,,,,,,,,
Time deposits,,2294,,0,,0,,2294,,2294,,0
Government bonds,,55033,,434,,30,,55437,,4518,,50919
Corporate debt securities,,27164,,337,,3,,27498,,44,,27454
Mortgage-backed and asset-backed,,,,,,,,,,,,
securities,,19453,,96,,41,,19508,,0,,19508
Total,, 103944,,867,,74,, 104737,,6856,,97881
