0,1,2,3,4,5
alance as of December 31 2022 12849  68184  7603  195563  256144,,,,,
Stock issued,102,0.0,0.0,0.0,0.0
Stock-based compensation expense,0 16905 0 0,,,,16905.0
"Tax withholding related to vesting of
restricted stock units and other",0,7366.0,0.0,0.0,7366.0
Repurchases of stock,410 3132 0 43024,,,,46156.0
Net income,0,0.0,0.0,53108.0,53108.0
Other comprehensive income loss,0 0 567 0,,,,567.0
alance as of September 30 2023 12541  74591  7036  205647  273202,,,,,
