0,1,2,3,4
,,,2022.0,
"Realized net gain loss on equity securities sold during
the period",73.0, 42  355,,348.0
Unrealized net gain loss on marketable equity securities 86 224 2494 136,,,,
"Unrealized net gain loss on non-marketable equity
securities1 488 184 881 678",,,,
"Total gain loss on equity securities in other income
expense net  647  366  1968  194",,,,
