0,1,2,3,4
Table of Contents,,,,Alphabet Inc.
,,,,As of
,,,,December 31 2024
Due in 1 year or less,,,," 
6341"
Due in 1 year through 5 years,,,,37221
Due in 5 years through 10 years,,,,10920
Due after 10 years,,,,12896
Total,,,," 
67378"
"The 
following 
tables  present",fair  values  and  gross  unrealized,losses,recorded,to  AOCI  aggregated  by
investment  category  and  the  length  of  time  that  individual  securities  have  been  in  a  continuous  loss  position  in,,,,
millions:,,,,
