0,1,2,3,4,5
Operating income loss:,,,,,
Google Services,,54606.0,,,91855.0
Google Cloud,5607.0,,,3099.0,
Other ets,4476.0,,,5281.0,
Corporate costs unallocated1,3299.0,,,4761.0,
Total income from operations,,41224.0,,,78714.0
