0,1,2,3,4
addresses of our customers:,,,,
,Three Months Ended,,Nine Months Ended,
,September 30,,September 30,
,2022,2023.0,2022,2023.0
United States,48 ,47.0,47 ,47.0
EMEA,28 ,30.0,29 ,30.0
APAC,17 ,17.0,17 ,17.0
Other Americas,6 ,6.0,6 ,6.0
Hedging gains losses,1 ,0.0,1 ,0.0
