0,1,2,3,4,5,6
,Components of other income expense net were as follows in millions:,,,,,
,,,Year Ended December 31,,,
,,2019.0,,2020.0,,2021.0
Interest income,,2427.0,,1865.0,,1499.0
1,,,,,,
Interest expense,,100.0,,135.0,,346.0
2,,,,,,
Foreign currency exchange gain loss net,,103.0,,344.0,,240.0
Gain loss on debt securities net,,149.0,,725.0,,110.0
Gain loss on equity securities net,,2649.0,,5592.0,,12380.0
Performance fees,,326.0,,609.0,,1908.0
Income loss and impairment from equity method investments net,,390.0,,401.0,,334.0
3,,,,,,
Other,,102.0,,637.0,,411.0
Other income expense net,,5394.0,,6858.0,,12020.0
