0,1,2,3,4,5,6,7,8,9,10,11,12
alance as of December 31 2019,,19921.0,,,0.0,,0.0,,703.0,,,20624.0
Acquisitions,204.0,,,53.0,,189.0,,0.0,,,446.0,
"Foreign currency translation and other
adjustments",46.0,,,56.0,,5.0,,2.0,,,105.0,
Allocation in the fourth quarter of 20201,20171.0,,,18408.0,,1763.0,,0.0,,,0.0,
alance as of December 31 2020,0.0,,,18517.0,,1957.0,,701.0,,,21175.0,
Acquisitions,,,,,,,,,,,,
"Foreign currency translation and other
adjustments",0.0,,,16.0,,2.0,,11.0,,,29.0,
alance as of December 31 2021,,0.0,,,19826.0,,2337.0,,793.0,,,22956.0
