0,1,2,3,4,5,6,7
Patents and developed technology,,4786.0,,4112.0,,,674.0
Customer relationships,,,,,,,
Trade names and other,534.0,,295.0,,,239.0,
Total definite-lived intangible assets,,,,,,,
Indefinite-lived intangible assets,138.0,,0.0,,,138.0,
Total intangible assets,,,,,,,
