0,1,2,3,4
Derivatives in cash flow hedging relationship:,,,,
Foreign exchange contracts,,,,
Amount included in the assessment of effectiveness  652  738  591  306,,,,
Amount excluded from the assessment of effectiveness 16 103 143 52,,,,
Derivatives in net investment hedging relationship:,,,,
Foreign exchange contracts,,,,
Amount included in the assessment of effectiveness 336 424 62 222,,,,
Total  1004,,1265.0,796.0,580.0
