0,1,2,3,4
,,As of December 31,,As of September
,,2021,,30 2022
Derivatives Designated as Hedging Instruments:,,,,
Foreign exchange contracts,,,,
Cash flow hedges,,16362,,17513
Fair value hedges,,2556,,2435
Net investment hedges,,10159,,8993
Derivatives Not Designated as Hedging Instruments:,,,,
Foreign exchange contracts,,41031,,36988
Other contracts,,4275,,6728
