0,1,2,3,4,5,6
millions:,,,,,,
,,,Year Ended December 31,,,
,2021.0,,2022,,2023,
United States,117854.0,,46    134814,,48    146286,47.0
EMEA1,79107.0,31,82062,29,91038,30.0
APAC1,46123.0,18,47024,16,51514,17.0
Other Americas1,14404.0,5,16976,6,18320,6.0
Hedging gains losses,149.0,0,1960,1,236,0.0
Total revenues,257637.0,100    282836,,100    307394,,100.0
1,,,,,,
