0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Consolidated alance Sheet Data:,,,,,,,,,,,,,,
"Cash cash equivalents and marketable
securities",,86333.0,,,101871.0,,,109140.0,,,119675.0,,,136694.0
Total assets,,167497.0,,,197295.0,,,232792.0,,,275909.0,,,319616.0
Total long-term liabilities,,11705.0,,,20610.0,,,20544.0,,,29246.0,,,40238.0
Total stockholders’ equity,,139036.0,,,152502.0,,,177628.0,,,201442.0,,,222544.0
