0,1,2,3,4,5,6,7
,Total outstanding debt is summarized below in millions except percentages:,,,,,,
,,,,,,As of December 31,
,,,Effective,,,,
,Maturity,Coupon Rate,Interest Rate,,2021.0,,2022.0
Debt,,,,,,,
2014-2020 Notes issuances,2024 - 2060,0.45 - 3.38,0.57 - 3.38,,13000.0,,13000.0
Future finance lease payments net and,,,,,,,
other 1,,,,,2086.0,,2142.0
Total debt,,,,,15086.0,,15142.0
Unamortized discount and debt,,,,,,,
issuance costs,,,,,156.0,,143.0
Less: current portion of future finance,,,,,,,
lease payments net and other current,,,,,,,
debt12,,,,,113.0,,298.0
Total long-term debt,,,,,14817.0,,14701.0
1,,,,,,,
