0,1
Unrealized gains losses on available-for-sale investments,
Other income expense net  1291  1497  1008,
"enefit provision for income
taxes 284 329 226",
Net of income tax 1007 1168 782,
Unrealized gains losses on cash flow hedges,
Foreign exchange contracts Revenue 2046 213 174,
Interest rate contracts Other income expense net 6 6 1,
"enefit provision for income
taxes 346 5 9",
Net of income tax 1706 214 166,
Total amount reclassified net of income tax, 699  954  616
