0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Derivatives,,366.0,,,21.0,,,345.0,,,88.0,1.0,,234.0,,,0.0,,,23.0
,,,,,,,,,,,,,,,,,,,,
