0,1,2,3,4,5,6
,,,,2020,,
,,Class A,,Class ,,Class C
asic net income per share:,,,,,,
Numerator,,,,,,
Allocation of undistributed earnings,,17733,,2732,,19804
Denominator,,,,,,
Number of shares used in per share computation,,299815,,46182,,334819
asic net income per share,,59.15,,59.15,,59.15
Diluted net income per share:,,,,,,
Numerator,,,,,,
Allocation of undistributed earnings for basic computation,,17733,,2732,,19804
Reallocation of undistributed earnings as a result of conversion of Class  to Class A,,,,,,
shares,,2732,,0,,0
Reallocation of undistributed earnings,,180,,25,,180
Allocation of undistributed earnings,,20285,,2707,,19984
Denominator,,,,,,
Number of shares used in basic computation,,299815,,46182,,334819
Weighted-average effect of dilutive securities,,,,,,
Add:,,,,,,
Conversion of Class  to Class A shares outstanding,,46182,,0,,0
Restricted stock units and other contingently issuable shares,,87,,0,,6125
Number of shares used in per share computation,,346084,,46182,,340944
Diluted net income per share,,58.61,,58.61,,58.61
