0
Land and buildings  58881  66897
Information technology assets 55606 66267
Construction in progress 23172 27657
Leasehold improvements 9146 10575
Furniture and fixtures 208 314
Property and equipment gross 147013 171710
Less: accumulated depreciation 49414 59042
Property and equipment net  97599  112668
