0,1,2,3,4,5,6
,Revenue disaggregated by geography based on the billing address of our customers consists of the following in millions:,,,,,
,,,Three Months Ended March 31,,,
,,2020.0,,,2019.0,
United States and Canada1,,,8012,,,6777.0
Europe2,,,4150,,,3624.0
Asia-Pacific,,,3971,,,3337.0
Rest of World2,,,1604,,,1339.0
Total revenue,,,17737,,,15077.0
____________________________________,,,,,,
