0,1,2,3,4
The following table presents OI&E in millions:,,,,
,,,Year Ended December 31,
,,2023.0,,2024.0
Interest income,,3865.0,,4482.0
Interest expense,,308.0,,268.0
Foreign currency exchange gain loss net,,1238.0,,409.0
Gain loss on debt securities net,,1215.0,,1043.0
Gain loss on equity securities net,,392.0,,3714.0
Performance fees,,257.0,,218.0
Income loss and impairment from equity method investments net,,628.0,,188.0
Other,,299.0,,919.0
Other income expense net,,1424.0,,7425.0
