0,1
asic net income per share:,
Numerator,
Allocation of undistributed earnings, 27518  4072  28382
Denominator,
Number of shares used in per share computation,5994 887 6182
asic net income per share, 4.59  4.59  4.59
Diluted net income per share:,
Numerator,
Allocation of undistributed earnings for basic computation, 27518  4072  28382
"Reallocation of undistributed earnings as a result of conversion of Class  to Class A
shares",4072 0 0
Reallocation of undistributed earnings,230 30 230
Allocation of undistributed earnings, 31360  4042  28612
Denominator,
Number of shares used in basic computation,5994 887 6182
Weighted-average effect of dilutive securities,
Add:,
Conversion of Class  to Class A shares outstanding,887 0 0
Restricted stock units and other contingently issuable shares,0 0 96
Number of shares used in per share computation,6881 887 6278
Diluted net income per share, 4.56  4.56  4.56
