0,1,2,3,4,5,6,7,8
Table of Contents,,,,,,,Alphabet Inc.,
,,Google,,,,,,
,,Services,Google Cloud,,,Other ets,,Total
alance as of December 31 2022,,20847,,7205.0,,908,,28960
Additions,,240,,3.0,,0,,243
Foreign currency translation and other adjustments,,31,,9.0,,27,,5
alance as of December 31 2023,,21118,,7199.0,,881,,29198
Additions,,2441,,295.0,,0,,2736
Foreign currency translation and other adjustments,,38,,4.0,,7,,49
alance as of December 31 2024,,23521,,7490.0,,874,,31885
