0,1,2,3,4
Table of Contents,,,,Alphabet Inc.
,The  following  table  presents  long-lived  assets  by  geographic  area  which  includes  property  and  equipment  net,,,
and operating lease assets in millions:,,,,
,,,As of December 31,
,,2023.0,,2024
Long-lived assets:,,,,
United States,,110053.0,,138993
International,,38383.0,,45631
Total long-lived assets,,148436.0,,184624
Note 16.        Subsequent Event,,,,
,In January 2025 we recognized an 8.0 billion unrealized gain on our non-marketable equity securities related to,,,
our  investment  in  a  private  company. The  unrealized  gain  reflects  an  increase  in  the  fair  value  measurement  of  our,,,,
investment following an observable transaction in January 2025. See Note 3 and Note 7 for further details on equity,,,,
investments and OI&E.,,,,
,89.,,,
