0,1,2,3,4,5,6,7,8
,,,,Unrealized,,,,
,,,,Gains,,Unrealized,,
,,Foreign,,Losses on,,Gains,,
,,Currency,,Available-for-,,Losses on,,
,,Translation,,Sale,,Cash Flow,,
,,Adjustments,,Investments,,Hedges,,Total
alance as of December 31 2021,,2306,,236,,447,,1623
Other comprehensive income loss before,,,,,,,,
reclassifications,,3801,,5204,,2296,,6709
Amounts excluded from the assessment of hedge,,,,,,,,
effectiveness recorded in AOCI,,0,,0,,131,,131
Amounts reclassified from AOCI,,0,,743,,1132,,389
Other comprehensive income loss,,3801,,4461,,1033,,7229
alance as of September 30 2022,,6107,,4225,,1480,,8852
