0,1,2,3,4,5,6,7,8,9,10,11,12
Level 1:,,,,,,,,,,,,
Money market funds,,,4604.0,,,0.0,,,12210.0,,,0.0
Marketable equity securities12,,0.0,,,3046.0,,,0.0,,,5470.0,
,,4604.0,,,3046.0,,,12210.0,,,5470.0,
Level 2:,,,,,,,,,,,,
Mutual funds,,0.0,,,250.0,,,0.0,,,388.0,
Total,,,4604.0,,,3296.0,,,12210.0,,,5858.0
