0,1
eginning gross unrecognized tax benefits, 5158  7055  9438
Increases related to prior year tax positions 253 740 896,
Decreases related to prior year tax positions,437 682 83
Decreases related to settlement with tax authorities 140 21 311,
Increases related to current year tax positions,2221 2346 2679
Ending gross unrecognized tax benefits  7055  9438  12619,
