0,1,2
,The following table summarizes the estimated fair value of investments in available-for-sale marketable debt,
securities by effective contractual maturity dates in millions:,,
,,As of
,,September 30 2024
Due in 1 year or less,,5439
Due in 1 year through 5 years,,36972
Due in 5 years through 10 years,,12416
Due after 10 years,,13220
Total,,68047
