0,1
Unrealized gains losses on available-for-sale investments,
Other income expense net  650  82  1291,
"enefit provision for income
taxes 137 18 284",
Net of income tax 513 64 1007,
Unrealized gains losses on cash flow hedges,
Foreign exchange contracts Revenue 144 165 2046,
Interest rate contracts Other income expense net 6 6 6,
"enefit provision for income
taxes 34 17 346",
Net of income tax 116 154 1706,
Total amount reclassified net of income tax, 629  218  699
