0,1,2,3,4,5,6
millions:,,,,,,
,,,Year Ended December 31 2023,,,
,,Severance,,,,
,,and Related 1,,Office Space,,Total
Cost of revenues,,479,,481,,960
Research and development,,848,,870,,1718
Sales and marketing,,497,,257,,754
General and administrative,,264,,237,,501
Total charges,,2088,,1845,,3933
1,,,,,,
