0,1
asic net income per share:,
Numerator,
Allocation of undistributed earnings, 34601  5124  34070
Denominator,
Number of shares used in per share computation,5922 877 5831
asic net income per share, 5.84  5.84  5.84
Diluted net income per share:,
Numerator,
Allocation of undistributed earnings for basic computation, 34601  5124  34070
"Reallocation of undistributed earnings as a result of conversion of Class  to Class A
shares",5124 0 0
Reallocation of undistributed earnings,287 37 287
Allocation of undistributed earnings, 39438  5087  34357
Denominator,
Number of shares used in basic computation,5922 877 5831
Weighted-average effect of dilutive securities,
Add:,
Conversion of Class  to Class A shares outstanding,877 0 0
Restricted stock units and other contingently issuable shares,0 0 92
Number of shares used in per share computation,6799 877 5923
Diluted net income per share, 5.80  5.80  5.80
