0,1
,2022.0
Revenues  182527  257637  282836,
Costs and expenses:,
Cost of revenues 84732 110939 126203,
Research and development 27573 31562 39500,
Sales and marketing 17946 22912 26567,
General and administrative 11052 13510 15724,
Total costs and expenses 141303 178923 207994,
Income from operations 41224 78714 74842,
Other income expense net 6858 12020 3514,
Income before income taxes 48082 90734 71328,
Provision for income taxes 7813 14701 11356,
Net income  40269  76033  59972,
,
asic net income per share of Class A Class  and Class C stock  2.96  5.69  4.59,
Diluted net income per share of Class A Class  and Class C stock  2.93  5.61  4.56,
