0,1,2,3,4,5,6,7
,Year Ended De,cember 31 2023,,,Year Ended December 31 2024,,
,Shares,Amount,,,Shares,,Amount
Class A share repurchases,78,,9316.0,,73,, 11855
Class C share repurchases,450,,52868.0,,306,,50192
Total share repurchases1,528,,62184.0,,379,, 62047
