0
Interest income  1499  2174  3865
Interest expense1 346 357 308
Foreign currency exchange gain loss net 240 654 1238
Gain loss on debt securities net 110 2064 1215
Gain loss on equity securities net 12380 3455 392
Performance fees 1908 798 257
Income loss and impairment from equity method investments net 334 337 628
Other 411 381 299
Other income expense net  12020  3514  1424
