0,1,2,3,4,5,6
,,,Year Ended December 31,,,
,,2021.0,,2022.0,,2023.0
Interest income,,1499.0,,2174.0,,3865.0
Interest expense1,,346.0,,357.0,,308.0
Foreign currency exchange gain loss net,,240.0,,654.0,,1238.0
Gain loss on debt securities net,,110.0,,2064.0,,1215.0
Gain loss on equity securities net,,12380.0,,3455.0,,392.0
Performance fees,,1908.0,,798.0,,257.0
Income loss and impairment from equity method investments net,,334.0,,337.0,,628.0
Other,,411.0,,381.0,,299.0
