0,1,2,3,4,5,6,7
,Year Ended December 31 2022,,,,,,
,Shares,Amount,,,Shares,,Amount
Class A share repurchases 61  6719,,,,,78,9316.0,
Class C share repurchases 469,,,52577.0,,450,,52868
Total share repurchases1,530  59296,,,,528,62184.0,
