0
United States  97832  104291  0  104291 7  0  7 
EMEA 60300 66028 645 66673 9  2  11 
APAC 35045 37535 1669 39204 7  5  12 
Other Americas 12320 13144 579 13723 7  4  11 
"Revenues excluding hedging
effect 205497 220998 2893 223891 8  1  9 "
Hedging gains losses 1291 86
Total revenues1  206788  221084  223891 7  1  1  9 
