0,1,2,3,4,5,6,7
In 2020 we issued 5.75 billion in s,ustainability bonds,—the largest sustainability or green bond issuance by,,,,,
any company in history at the time.,The net proceeds from the issuance,,,,,were used to fund environmentally,
and socially responsible projects in the following eight areas: energy efficiency clean energy green buildings,,,,,,,
clean transportation circular economy and design affordable housing commitment to racial equity and,,,,,,,
support for small businesses and COVID-19 crisis response.,,,As of,,2022 we had,,fully allocated the net
