0,1,2,3,4,5,6,7,8,9,10,11
Year ended December 31 2018,,674,,,1115,,,1060,,,729
Year ended December 31 2019,,729,,,1481,,,1457,,,753
Year ended December 31 2020,,753,,,2013,,,1422,,,1344
