0,1,2
,The following table summarizes the estimated fair value of investments in available-for-sale marketable debt,
securities by effective contractual maturity dates in millions:,,
,,As of
,,September 30 2023
Due in 1 year or less,,13958
Due in 1 year through 5 years,,42554
Due in 5 years through 10 years,,15114
Due after 10 years,,13592
Total,,85218
