0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
United States,,63269.0,,46,,,,74843.0,,46,,,,85014.0,,47,
EMEA1,44739.0,,,33,,,50645.0,,,31,,,55370.0,,,30,
APAC1,21341.0,,,15,,,26928.0,,,17,,,32550.0,,,18,
Other Americas1,7608.0,,,6,,,8986.0,,,6,,,9417.0,,,5,
Hedging gains losses,138.0,,,0,,,455.0,,,0,,,176.0,,,0,
Total revenues,,136819.0,,100,,,,161857.0,,100,,,,182527.0,,100,
