0,1,2,3,4,5,6,7
TAC,,30089.0,,,,32778.0,
Other cost of revenues,41807.0,,,,51954.0,,
Total cost of revenues,,71896.0,,,,84732.0,
Total cost of revenues as a percentage of revenues,44.4,,,,46.4,,
