0,1,2,3,4,5
c Issuer Purchases of Equity Securities,,,,,
,The following table summarizes the share repurchase activity for the three months ended March 31 2020:,,,,
,,,,Total Number of Shares,Approximate Dollar Value
,,,,Purchased as Part of,of Shares that May Yet e
,Total Number of Shares,,Average Price Paid Per,Publicly Announced,Purchased Under the Plans
,Purchased1,,Share2,Programs1,or Programs 1
,in thousands,,,in thousands,in millions
January 1 - 31 2020,2205,,216.50,2205,"
14423"
