0,1,2,3,4,5,6
millions:,,,,,,
,,,Year Ended December 31,,,
,2022.0,,2023,,2024,
United States,134814.0,,48    146286,,47    170447,49.0
EMEA1,82062.0,29,91038,30,102127,29.0
APAC1,47024.0,16,51514,17,56815,16.0
Other Americas1,16976.0,6,18320,6,20418,6.0
Hedging gains losses,1960.0,1,236,0,211,0.0
Total revenues,282836.0,100    307394,,100    350018,,100.0
1,,,,,,
