0
Unrealized gains on non-marketable equity securities  1260  219  6245  3234
"Unrealized losses on non-marketable equity securities
including impairments 37 707 98 2353"
"Total unrealized gain loss recognized on non-
marketable equity securities  1223  488  6147  881"
