0,1,2,3,4,5
Patents and developed technology, 1364,,491.0,,873.0
Customer relationships 891 224 667,,,,,
Trade names and other,528,,110.0,,418.0
Total definite-lived intangible assets,2783 825 1958,,,,
Indefinite-lived intangible assets,234,,0.0,234.0,
Total intangible assets  3017  825  2192,,,,,
