0,1,2,3,4,5,6,7,8
asic net income per share:,,,,,,,,
Numerator,,,,,,,,
Allocation of distributed earnings cash dividends paid,,0.0,,0.0,,0.0,,0
Allocation of undistributed earnings,,27518.0,,4072.0,,28382.0,,59972
Net income,,27518.0,,4072.0,,28382.0,,59972
Denominator,,,,,,,,
Number of shares used in per share computation,,5994.0,,887.0,,6182.0,,13063
asic net income per share,,4.59,,4.59,,4.59,,4.59
Diluted net income per share:,,,,,,,,
Numerator,,,,,,,,
Allocation of total earnings for basic computation,,27518.0,,4072.0,,28382.0,,59972
Reallocation of total earnings as a result of conversion of Class  to,,,,,,,,
Class A shares,,4072.0,,0.0,,0.0,,_1
Reallocation of undistributed earnings,,230.0,,30.0,,230.0,,_1
Net income,,31360.0,,4042.0,,28612.0,,59972
Denominator,,,,,,,,
Number of shares used in basic computation,,5994.0,,887.0,,6182.0,,13063
Weighted-average effect of dilutive securities,,,,,,,,
Add:,,,,,,,,
Conversion of Class  to Class A shares outstanding,,887.0,,0.0,,0.0,,_1
Restricted stock units and other contingently issuable shares,,0.0,,0.0,,96.0,,96
Number of shares used in per share computation,,6881.0,,887.0,,6278.0,,13159
Diluted net income per share,,4.56,,4.56,,4.56,,4.56
1      Not applicable for consolidated net income per share.,,,,,,,,
