0,1,2,3,4,5,6,7,8,9,10
Unrealized gains losses on available-for-sale investments,,,,,,,,,,
,,Other income expense net,,149.0,,,650.0,,,82.0
,,"enefit provision for income
taxes",38.0,,,137.0,,,18.0,
,,Net of income tax,111.0,,,513.0,,,64.0,
Unrealized gains losses on cash flow hedges,,,,,,,,,,
Foreign exchange contracts,,Revenue,367.0,,,144.0,,,165.0,
Interest rate contracts,,Other income expense net,6.0,,,6.0,,,6.0,
,,"enefit provision for income
taxes",74.0,,,34.0,,,17.0,
,,Net of income tax,299.0,,,116.0,,,154.0,
Total amount reclassified net of income tax,,,,410.0,,,629.0,,,218.0
