0,1,2,3,4,5
"Realized net gain loss on equity securities sold during the
period",442.0,,690.0,,186.0
Unrealized net gain loss on marketable equity securities 3242 790 156,,,,,
Unrealized net gain loss on non-marketable equity securities1,229.0,,1088.0,,3372.0
"Total gain loss on equity securities in other income
expense net  3455  392  3714",,,,,
