0,1
Government bonds, 32843  236  71  2  32914  238
Corporate debt securities 22737 152 303 5 23040 157,
"Mortgage-backed and asset-backed
securities",11502 106 248 6 11750 112
Total  67082  494  622  13  67704  507,
