0,1,2,3,4,5,6
Year ended December 31 2022  1389  2125,,,,2301.0,,1213.0
Year ended December 31 2023  1213  3115  2737  1591,,,,,,
Year ended December 31 2024,1591.0, 2895  2850  1636,,,,
