0,1,2,3,4,5,6
Exhibit,,,,Incorporated by Reference,,
,,,,,,Filed
Number,Exhibit Description,Form,File No.,Exhibit,Filing Date,Herewith
10.1,2012 Equity Incentive Plan as amended.,,,,,X
10.2,2012 Equity Incentive Plan forms of award agreements,,,,,X
,Additional Forms.,,,,,
10.3,Offer letter dated May 6 2019 between Registrant and Jennifer,,,,,X
,G. Newstead.,,,,,
31.1,Certification of Mark Zuckerberg Chief Executive Officer,,,,,X
,pursuant to Rule 13a-14a/15d-14a as adopted pursuant to,,,,,
,Section 302 of the Sarbanes-Oxley Act of 2002.,,,,,
31.2,Certification of David M. Wehner Chief Financial Officer,,,,,X
,pursuant to Rule 13a-14a/15d-14a as adopted pursuant to,,,,,
,Section 302 of the Sarbanes-Oxley Act of 2002.,,,,,
32.1#,Certification of Mark Zuckerberg Chief Executive Officer,,,,,X
,pursuant to 18 U.S.C. Section 1350 as adopted pursuant to,,,,,
,Section 906 of the Sarbanes-Oxley Act of 2002.,,,,,
32.2#,Certification of David M. Wehner Chief Financial Officer,,,,,X
,pursuant to 18 U.S.C. Section 1350 as adopted pursuant to,,,,,
,Section 906 of the Sarbanes-Oxley Act of 2002.,,,,,
101.INS,Inline XRL Instance Document the instance document does,,,,,X
,not appear in the Interactive Data File because its XRL tags are,,,,,
,embedded within the Inline XRL document.,,,,,
101.SCH,Inline XRL Taxonomy Extension Schema Document.,,,,,X
101.CAL,Inline XRL Taxonomy Extension Calculation Linkbase,,,,,X
,Document.,,,,,
101.DEF,Inline XRL Taxonomy Extension Definition Linkbase,,,,,X
,Document.,,,,,
101.LA,Inline XRL Taxonomy Extension Labels Linkbase Document.,,,,,X
101.PRE,Inline XRL Taxonomy Extension Presentation Linkbase,,,,,X
,Document.,,,,,
104,Cover Page Interactive Data File formatted as inline XRL and,,,,,X
,contained in Exhibit 101.,,,,,
