0,1,2,3,4,5,6,7,8,9,10
,,,,,,,, Change from Prior Period,,
,Year Ended December 31,,,,,Constant,,Less,,Constant
,,,,,Less FX,Currency,As,Hedging,Less FX,Currency
,2023,,2024.0,,Effect,Revenues,Reported,Effect,Effect,Revenues
United States,,,,,,,,,,
,146286,,170447.0,,0,  170447,17 ,,0 ,17 
EMEA,,,,,,,,,,
,91038,,102127.0,,41,102086,12 ,,0 ,12 
APAC,,,,,,,,,,
,51514,,56815.0,,1369,58184,10 ,,3 ,13 
Other Americas,,,,,,,,,,
,18320,,20418.0,,1608,22026,11 ,,9 ,20 
Revenues excluding hedging effect,307158,,349807.0,,2936,352743,14 ,,1 ,15 
Hedging gains losses,,,,,,,,,,
,236,,211.0,,,,,,,
Total revenues1,,,,,,,,,,
,307394,,350018.0,,,  352743,14 ,0 ,1 ,15 
1,,,,,,,,,,
,Total  constant  currency  revenues  of  352.7  billion  for  2024  increased  45.6  billion  compared  to  307.2  billion  in  revenues,,,,,,,,,
