0,1,2,3,4,5
Unrealized gain loss on fair value option debt securities  557,,,386.0,,30.0
Gross realized gain on debt securities 103 182 482,,,,,
Gross realized loss on debt securities 1588,,,1833.0,,1553.0
Increase decrease in allowance for credit losses 22 50 2,,,,,
"Total gain loss on debt securities recognized in other income
expense net",2064.0,,1215.0,1043.0,
