0,1,2,3,4,5
Unrealized gain loss on fair value option debt securities,177.0,, 86,746.0,35.0
Gross realized gain on debt securities 14 8 83 93,,,,,
Gross realized loss on debt securities,551.0,,402 1190 1197,,
Increase decrease in allowance for credit losses 17 23 35 31,,,,,
"Total gain loss on debt securities recognized in other
income expense net",731.0,503.0,,1888.0,1100.0
