0
Interest income  1865  1499  2174
Interest expense1 135 346 357
Foreign currency exchange gain loss net 344 240 654
Gain loss on debt securities net 725 110 2064
Gain loss on equity securities net 5592 12380 3455
Performance fees 609 1908 798
Income loss and impairment from equity method investments net 401 334 337
Other 637 411 381
Other income expense net  6858  12020  3514
