0
Operating income loss:
Google Services  23937  30856  69128  88427
Google Cloud 266 1947 852 4019
Other ets 1194 1116 3232 3270
Alphabet-level activities1 1666 3166 6152 7758
Total income from operations  21343  28521  60596  81418
