0,1,2,3,4,5
"Realized net gain loss on equity securities sold during the
period",1196.0,,442.0,,690.0
Unrealized net gain loss on marketable equity securities 1335 3242 790,,,,,
Unrealized net gain loss on non-marketable equity securities1,9849.0,,229.0,,1088.0
"Total gain loss on equity securities in other income
expense net  12380  3455  392",,,,,
