0,1,2,3,4,5,6
,,,,2021.0,,
TAC,,32778.0,,,45566.0,
Other cost of revenues,51954.0,,,65373.0,,
Total cost of revenues,,84732.0,,,110939.0,
Total cost of revenues as a percentage of revenues,46.4,,,43.1,,
