0,1,2,3
,2019,2020,2021
,Other,Other,Other
,income,income,income
,expense,expense,expense
,"Revenues
net","Revenues
net","Revenues
net"
Total amounts presented in the Consolidated Statements,,,
of Income in which the effects of cash flow and fair value,,,
hedges are recorded," 161857 

5394"," 182527 

6858"," 257637 

12020"
Gains Losses on Derivatives in Cash Flow Hedging,,,
Relationship:,,,
Foreign exchange contracts,,,
